,count,mean,std,min,25%,50%,75%,max,asimetria,curtosis,faltantes_n,faltantes_pct
aceite_oliva_girasol,580.0,1.6689655172413793,0.5080379463584846,0.5,1.0,2.0,2.0,2.0,-0.9919252536113755,-0.7325761646360425,28,4.605263157894736
bebida_alcoholica,579.0,0.5293609671848014,0.18602034880438523,0.5,0.5,0.5,0.5,2.0,7.140140019060608,52.33400254350976,29,4.769736842105264
vasos_agua_dia,580.0,4.978448275862069,1.4960977470815813,1.5,4.5,6.0,6.0,6.0,-1.4584602368440658,0.9391687899267653,28,4.605263157894736
carne,579.0,4.702936096718481,1.9442511339042219,2.0,2.0,5.0,7.0,7.0,-0.3084220112071229,-1.3063906313641211,29,4.769736842105264
embutidos,579.0,3.4455958549222796,1.9909119945261735,2.0,2.0,2.0,5.0,7.0,0.8289840905334649,-1.0055124768130583,29,4.769736842105264
queso_nbsp,579.0,4.300518134715026,2.232858520040693,2.0,2.0,5.0,7.0,7.0,0.10141062258218202,-1.7633450942432618,29,4.769736842105264
bolleria_pasteleria,579.0,2.683937823834197,1.5877780506090728,2.0,2.0,2.0,2.0,7.0,2.042343422698452,2.50009675165108,29,4.769736842105264
mantequilla,579.0,2.373056994818653,1.2667013594830525,2.0,2.0,2.0,2.0,7.0,3.2083188655561576,8.583109866356025,29,4.769736842105264
bebida_azucarada,579.0,2.295336787564767,1.1024488386048668,2.0,2.0,2.0,2.0,7.0,3.65598993040698,11.980437210778119,29,4.769736842105264
comida_rapida,577.0,2.0398613518197575,0.3681862189903628,2.0,2.0,2.0,2.0,7.0,9.690427929706013,98.7458372412934,31,5.098684210526316
pescado,579.0,2.069948186528497,1.0558922647786422,1.0,1.0,2.5,2.5,4.0,0.46778735030770485,-0.9037739889065959,29,4.769736842105264
legumbres,579.0,2.261658031088083,1.1254440171754954,1.0,1.0,2.5,2.5,4.0,0.26892674053163884,-1.184630719097409,29,4.769736842105264
frutos_secos,578.0,2.6271626297577853,1.34924302977697,1.0,1.0,2.5,4.0,4.0,-0.16747298758451956,-1.7460335558849258,30,4.934210526315789
score_dieta,581.0,24.03614457831325,3.4790607541095353,13.0,22.0,24.0,27.0,32.0,-0.26854232738387707,0.1689002678933904,27,4.440789473684211
act_fisica_ligera,577.0,957.2980935875216,1745.9846706124658,0.0,224.0,559.0,1119.0,33571.0,11.929548331638323,212.13899923520438,31,5.098684210526316
act_fisica_moderada,577.0,1509.103986135182,1831.3939608567446,0.0,524.0,1049.0,2098.0,14695.0,3.2192054581910092,14.01215295628846,31,5.098684210526316
act_fisica_intensa,577.0,1235.5476603119585,1561.8336373181937,0.0,147.0,741.0,1857.0,13978.0,2.7799518795282663,12.629243320033744,31,5.098684210526316
act_fisica_total,577.0,3701.949740034662,3033.5318924087837,0.0,1755.0,3049.0,4774.0,35068.0,3.2529627245886776,22.436397296779464,31,5.098684210526316
frec_afectado_inesperadamente,561.0,1.9732620320855614,1.1327896432521949,0.0,1.0,2.0,3.0,4.0,-0.02138729638709771,-0.7602040828370624,47,7.730263157894737
frec_incapaz_controlar_cosas_importantes,562.0,1.5533807829181494,1.1630822782332322,0.0,1.0,1.0,2.0,4.0,0.35460545893782164,-0.7540426555933815,46,7.565789473684211
frec_nervioso_estresado,561.0,2.641711229946524,1.0008781476598183,0.0,2.0,3.0,3.0,4.0,-0.29709055568634457,-0.574579105974939,47,7.730263157894737
